facility_code,facility_name,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,outbound_segment_count,avg_outbound_delay_ratio,outbound_sla_breaches,inbound_segment_count,avg_inbound_delay_ratio,inbound_sla_breaches,total_segment_volume,total_sla_breaches,sla_breach_contribution_pct,norm_betweenness,norm_pagerank,norm_delay,norm_volume,structural_risk_score
IND486661AAA,Sidhi_Padra_D (Madhya Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0018576896067928354,0.09827050073018781,3.283157588107059e-05,0.0008668983560428535,0.0,21.0,3.6782516495255724,21.0,6.0,1.9128968253968255,6.0,27.0,27.0,0.02087343739128418,0.005621794228616775,0.03286004946932983,0.06726846114295822,0.0006746587783486429,0.023771264331609702
IND175018AAA,SundarNgr_Bhogpur_D (Himachal Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0036314323380883763,0.12947388877347935,0.0018831273161847445,0.0008638676233003398,0.0,16.0,3.071472223757924,16.0,16.0,2.5686177248677247,15.0,32.0,31.0,0.023965798486289245,0.010989545985092115,0.03272412041941093,0.056171580854775055,0.0008044008511079973,0.023422567540811585
IND783129AAA,Lakhipur_WrdN4DPP_D (Assam),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.005431545337882524,0.06587464349581229,2.689760053904956e-09,0.000862493395006236,0.0,4.0,2.0809525460555207,4.0,30.0,1.737154497583783,30.0,34.0,34.0,0.02628506930754304,0.016437100213794496,0.032662485969177535,0.0380567967672171,0.000856297680211739,0.021701225456608228
IND486771AAA,Churhat_Central_DPP_1 (Madhya Pradesh),3,1,0.0029585798816568047,0.0022189349112426036,0.0007396449704142012,0.001860974484529686,0.11156422911635251,0.0002751150549491829,0.0008616209225547147,0.5,6.0,1.9128968253968255,6.0,34.0,3.859902590644316,33.0,40.0,39.0,0.03015052067629937,0.005631735021004918,0.03262335538212441,0.034983366563919455,0.0010119881675229644,0.01732601704917131
IND784168AAB,Gohpur_Central_D_1 (Assam),3,2,0.0036982248520710057,0.0022189349112426036,0.0014792899408284023,0.006349942405143681,0.1486435154064453,0.0085026152020326,0.0008611564755170611,0.3,21.0,2.7805996644780464,19.0,22.0,2.666425885599999,22.0,43.0,41.0,0.03169670122380191,0.019216380085646148,0.0326025248272951,0.05085205644050748,0.001089833411178577,0.025264742207137137
IND535501AAB,Parvathipuram_Central_D_2 (Andhra Pradesh),1,2,0.0022189349112426036,0.0007396449704142012,0.0014792899408284023,0.002419859932813301,0.08264987803143485,9.319783913197317e-07,0.000859805217420175,0.3333333333333333,38.0,1.726511757271676,38.0,40.0,2.3455133634481458,34.0,78.0,72.0,0.05566249971009115,0.007323050392598697,0.032541920595609335,0.031574726289287515,0.001998027920494058,0.017413098628268193
IND341306AAA,Sujangarh_LdnunDPP_D (Rajasthan),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.00779008755294128,0.08027767491405757,8.306723453764736e-07,0.0008596088757257428,0.0,32.0,2.2747908012296745,32.0,28.0,1.8020208083233293,28.0,60.0,60.0,0.04638541642507596,0.023574589148481186,0.03253311462614549,0.041601742132193205,0.001530956458560382,0.025010924576655505
IND783348AAA,Bilasipara_Wardno5_D (Assam),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.005434830215619375,0.07155962368326876,2.2178869118091677e-08,0.0008595846273873317,0.0,30.0,1.737154497583783,30.0,22.0,2.1335362006414638,22.0,52.0,52.0,0.04020069423506583,0.016447041006182637,0.03253202708267586,0.03176936244563421,0.0013233691421454148,0.020508017440388812
IND605010AAB,Pondicherry_Vasanthm_I (Pondicherry),2,3,0.0036982248520710057,0.0014792899408284023,0.0022189349112426036,0.010865280594256283,0.1550701170389722,0.013808023372711484,0.0008595563594143084,0.0,38.0,1.7197612689632547,35.0,138.0,1.7563011021987975,137.0,176.0,172.0,0.13297152708521776,0.032880827622514416,0.03253075925768347,0.03145127226717633,0.004540972546577404,0.026839428445051657
IND335804AAD,Suratgarh_Central_DPP_2 (Rajasthan),2,2,0.0029585798816568047,0.0014792899408284023,0.0014792899408284023,0.002426429688287002,0.12660625004095488,0.002412134208460415,0.000858243900421014,0.3333333333333333,45.0,1.268171354311705,22.0,23.0,1.3941668235146494,17.0,68.0,39.0,0.03015052067629937,0.007342931977374982,0.03247189517458123,0.02319252286099914,0.001738543774975349,0.01567421331292145
IND174001AAA,BilaspurHP_Indsarea_D (Himachal Pradesh),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.003634717215825227,0.15356003195027837,0.015756709089027533,0.000858107463086245,0.0,16.0,2.5686177248677247,15.0,125.0,3.9738073821345434,113.0,141.0,128.0,0.09895555504016204,0.010999486777480258,0.03246577592921576,0.04697529643972692,0.0036327780372619233,0.0220878792498198
IND600008AAC,Chennai_Egmore_DPC (Tamil Nadu),3,3,0.004437869822485207,0.0022189349112426036,0.0022189349112426036,0.0018214647050836768,0.15472907296495653,0.016148164427304067,0.0008567881547549683,0.16666666666666666,74.0,2.8039158683895526,67.0,166.0,3.8872873779500283,158.0,240.0,225.0,0.17394531159403484,0.005512169379225308,0.03240660465175373,0.05127846694915898,0.006201671077897141,0.021526938051078515
IND481661AAA,Mandla_Mharajpr_D (Madhya Pradesh),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.0018127050311187419,0.11542195233415675,0.00037973720733366613,0.0008560658739841235,0.6666666666666666,32.0,2.636228119285042,24.0,43.0,1.6081097888678257,35.0,75.0,59.0,0.04561232615132469,0.005485660599523594,0.03237421019559519,0.04821176626916559,0.0019201826768384452,0.020039923547932863
IND560300AAB,Bangalore_East_I_20 (Karnataka),3,4,0.005177514792899408,0.0022189349112426036,0.0029585798816568047,7.755961323119554e-06,0.11944672199240669,0.0016591310477468714,0.0008558038186443214,0.3,129.0,1.7346027274627847,122.0,68.0,2.2182665751066644,60.0,197.0,182.0,0.1407024298227304,2.347131536089326e-05,0.03236245695425332,0.031722695260899235,0.005085889252166693,0.015460546101552827
IND413304AAA,Pandharpur_RajCmplx_D (Maharashtra),2,2,0.0029585798816568047,0.0014792899408284023,0.0014792899408284023,0.002424787249418577,0.14510606858573027,0.010391691147089327,0.0008556853769980945,0.3333333333333333,75.0,1.687147371147371,65.0,86.0,2.5516980435585084,83.0,161.0,148.0,0.11441736051518736,0.007337961581180911,0.03235714481959472,0.030854824028450967,0.004151746328299341,0.01765888682966206
IND521333AAA,Kaikaluru_Atapaka_D (Andhra Pradesh),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.0006041437637691124,0.10912821265909294,0.0001515522658220636,0.0008547763220700878,0.6666666666666666,49.0,2.1914301994958603,38.0,22.0,2.0427287886124095,22.0,71.0,60.0,0.04638541642507596,0.001828277400052638,0.032316373500185826,0.040077229963672065,0.0018163890186309616,0.017097714261525485
IND535558AAA,Bobbili_ColegRd_D (Andhra Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.002423144810550151,0.09184610868606728,7.79569285984059e-06,0.0008534933051681858,0.0,40.0,2.3455133634481458,34.0,3.0,2.273611111111111,3.0,43.0,37.0,0.02860434012879684,0.007332991184986839,0.03225882990155074,0.04289512778978879,0.001089833411178577,0.019428246630326555
IND341303AAA,Didwana_KatlaDPP_D (Rajasthan),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.00779337243067813,0.08890867602759385,6.9713209069460755e-06,0.0008530255544884895,0.3333333333333333,28.0,1.8020208083233293,28.0,37.0,1.7363846008663617,37.0,65.0,65.0,0.05025086779383228,0.02358452994086933,0.03223785117762759,0.032955648028903925,0.0016606985313197364,0.023237317585755896
IND783301AAA,Dhubri_Tetultol_D (Assam),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.005438115093356226,0.07831850918786247,1.846801083029564e-07,0.0008494618560739928,0.0,22.0,2.1335362006414638,22.0,30.0,3.501283126488235,30.0,52.0,52.0,0.04020069423506583,0.01645698179857078,0.03207801849661123,0.03901845514796587,0.0013233691421454148,0.021847813111674837
IND532201AAA,Tekkali_AmvdiDPP_D (Andhra Pradesh),2,2,0.0029585798816568047,0.0014792899408284023,0.0014792899408284023,0.0018198222662152515,0.11815056844023485,0.0006118687898576616,0.0008492358250340742,0.6666666666666666,42.0,3.224873698292014,40.0,35.0,3.1771389257457368,33.0,77.0,73.0,0.05643558998384242,0.005507198983031237,0.03206788095327812,0.05897701183454499,0.001972079505942187,0.0221343081504779
IND733128AAA,Itahar_NatunDPP_D (West Bengal),1,2,0.0022189349112426036,0.0007396449704142012,0.0014792899408284023,0.0018444588492416312,0.13988541029295776,0.0028445041713490763,0.0008482565035793519,0.3333333333333333,23.0,2.110171471041036,23.0,36.0,3.1861772486772484,36.0,59.0,59.0,0.04561232615132469,0.005581754925942309,0.032023958164231675,0.038591157193666084,0.001505008044008511,0.017978836812672646
IND591302AAB,Khanapur_StatinRD_D (Karnataka),1,2,0.0022189349112426036,0.0007396449704142012,0.0014792899408284023,0.0006049649832033252,0.12042179727397735,0.0010923105086967332,0.0008476289096098191,1.0,33.0,1.9868214504909663,29.0,10.0,1.7953785805509945,10.0,43.0,39.0,0.03015052067629937,0.0018307625981496742,0.03199581043255717,0.0363353120653357,0.001089833411178577,0.016124748612794535
